Player,Team,Goals,Assists,Canadian,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Tomas Pekhart,Legia Warszawa,22,0,22,0,0,6,0,22
Jakub Œwierczok,Piast Gliwice,15,3,18,0,0,8,5,23
Jesus Jimenez,Górnik Zabrze,12,3,15,1,0,3,4,19
Flavio Paixao,Lechia Gdañsk,12,3,15,0,0,3,2,17
Mikael Ishak,Lech Poznañ,12,1,13,0,0,5,3,16
Jesus Imaz,Jagiellonia,11,5,16,0,1,5,3,19
Jakov Puljiæ,Jagiellonia,11,1,12,0,0,4,1,13
Kamil Biliñski,Podbeskidzie,11,1,12,1,0,5,0,12
Erik Exposito,Œl¹sk Wroc³aw,9,3,12,0,0,4,2,14
Ivi Lopez,Raków Czêstochowa,9,2,11,2,1,3,4,15
Patryk Szysz,Zag³êbie Lubin,8,1,9,0,0,2,1,10
Filip Starzyñski,Zag³êbie Lubin,7,7,14,0,0,2,5,19
Filip Mladenoviæ,Legia Warszawa,7,5,12,0,0,4,4,16
Mateusz Kuzimski,Warta Poznañ,7,4,11,1,0,6,1,12
Felicio Brown Forbes,Wis³a Kraków,7,3,10,0,0,2,1,11
Robert Pich,Œl¹sk Wroc³aw,7,2,9,0,1,3,2,11
Vladislavs Gutkovskis,Raków Czêstochowa,7,1,8,1,0,4,2,10
Mateusz Szwoch,Wis³a P³ock,6,12,18,0,0,2,4,22
Marcin Cebula,Raków Czêstochowa,6,7,13,0,0,0,2,15
Maciej Domañski,Stal Mielec,6,6,12,0,1,2,5,17
Micha³ Kucharczyk,Pogoñ Szczecin,6,5,11,1,0,5,3,14
Pelle van Amersfoort,Cracovia,6,4,10,0,0,3,1,11
Dani Ramirez,Lech Poznañ,6,3,9,0,0,1,4,13
David Tijaniæ,Raków Czêstochowa,6,3,9,1,1,2,6,15
Patryk Tuszyñski,Wis³a P³ock,6,3,9,2,0,5,2,11
Makana Baku,Warta Poznañ,6,2,8,0,0,4,2,10
£ukasz Zwoliñski,Lechia Gdañsk,6,0,6,2,0,3,2,8
Alan Uryga,Wis³a P³ock,5,4,9,0,0,1,2,11
Bartosz Nowak,Górnik Zabrze,5,3,8,0,0,1,3,11
Alexander Gorgon,Pogoñ Szczecin,5,1,6,0,0,3,4,10
Tiago Alves,Piast Gliwice,5,1,6,4,0,2,1,7
Micha³ ¯yro,Piast Gliwice,4,4,8,1,2,1,0,8
Jakub Moder,Lech Poznañ,4,2,6,0,0,2,0,6
Petr Schwarz,Raków Czêstochowa,4,2,6,0,0,0,1,7
Sergiu Hanca,Cracovia,4,2,6,0,0,2,3,9
Yaw Yeboah,Wis³a Kraków,4,2,6,0,0,1,3,9
Jan Grzesik,Warta Poznañ,4,2,6,0,1,1,2,8
Mateusz Mak,Stal Mielec,4,1,5,1,1,0,2,7
Dawid Kocy³a,Wis³a P³ock,4,1,5,1,0,0,3,8
Fabian Piasecki,Œl¹sk Wroc³aw,4,0,4,3,0,1,1,5
Jakub B³aszczykowski,Wis³a Kraków,4,0,4,3,0,1,1,5
Piotr Krawczyk,Górnik Zabrze,4,0,4,3,0,2,1,5
Lorenco Simiæ,Zag³êbie Lubin,4,0,4,0,0,1,0,4
Dominik Steczyk,Piast Gliwice,4,0,4,0,0,1,4,8
Rafael Lopes,Legia Warszawa,4,0,4,2,0,2,3,7
£ukasz Tra³ka,Warta Poznañ,3,7,10,0,0,2,3,13
Pedro Tiba,Lech Poznañ,3,6,9,0,0,0,3,12
Pawe³ Wszo³ek,Legia Warszawa,3,5,8,0,1,2,3,11
Bartosz Kapustka,Legia Warszawa,3,4,7,0,0,2,4,11
Maciej Makuszewski,Jagiellonia,3,4,7,1,0,1,2,9
Conrado,Lechia Gdañsk,3,4,7,0,1,0,2,9
Alex Sobczyk,Górnik Zabrze,3,3,6,0,0,2,1,7
Luquinhas,Legia Warszawa,3,3,6,0,0,1,11,17
Kamil Drygas,Pogoñ Szczecin,3,2,5,1,0,0,1,6
Micha³ Nalepa II,Lechia Gdañsk,3,2,5,0,0,1,0,5
Michal Frydrych,Wis³a Kraków,3,2,5,0,0,1,1,6
Alasana Manneh,Górnik Zabrze,3,1,4,1,0,1,2,6
Chuca,Wis³a Kraków,3,1,4,0,0,0,0,4
Jean Carlos Silva,Wis³a Kraków,3,1,4,0,0,3,3,7
Marcin Flis,Stal Mielec,3,1,4,0,0,2,0,4
Adam Fr¹czczak,Pogoñ Szczecin,3,0,3,1,0,1,1,4
Damian Rasak,Wis³a P³ock,3,0,3,0,0,1,3,6
